highway	name	@type	@id	@lat	@lon
		node	6661027346	46.7480581	23.6176335
		node	6661027347	46.7362651	23.5995555
		node	6661027348	46.7314118	23.5887300
		node	6661027349	46.7315956	23.5736454
		node	6661027350	46.7419414	23.5611677
		node	6661027351	46.7455733	23.5515761
		node	6661027352	46.7470363	23.5456109
		node	6661027353	46.7487051	23.5397744
		node	6661027354	46.7506531	23.5382938
		node	6661027355	46.7533068	23.5391951
		node	6661027356	46.7604072	23.5437870
		node	6661027357	46.7631854	23.5416627
		node	6661027358	46.7630090	23.5363090
		node	6661027359	46.7620241	23.5305798
		node	6661027360	46.7618257	23.5187781
		node	6661027361	46.7616566	23.5162675
		node	6661027394	46.7583786	23.4971541
		node	6661027395	46.7571769	23.4947938
		node	6661027396	46.7552547	23.4908777
		node	6661027397	46.7527408	23.4855884
		node	6661027398	46.7516308	23.4836894
		node	6661027399	46.7491461	23.4793872
		node	6661027400	46.7481096	23.4768498
		node	6661027401	46.7477053	23.4739906
		node	6661027402	46.7478560	23.4725261
		node	6661027403	46.7485617	23.4698063
		node	6661027404	46.7504914	23.4648496
		node	6661027405	46.7511236	23.4624785
		node	6661027406	46.7516529	23.4574896
		node	6661027407	46.7518514	23.4558052
		node	6661027408	46.7515536	23.4589487
		node	6661027409	46.7531635	23.4487295
		node	6661027410	46.7540860	23.4461170
		node	6661027411	46.7583933	23.4398943
		node	6661027412	46.7592533	23.4330708
		node	6661027413	46.7591357	23.4280497
		node	6661027414	46.7593304	23.4163606
		node	6661027415	46.7602602	23.4126538
		node	6661027416	46.7608151	23.4091347
		node	6661027417	46.7608996	23.4080297
		node	6661027418	46.7608335	23.4047788
		node	6661218568	46.7320580	23.5908391
		node	6661218575	46.7637458	23.6362449
		node	6661218578	46.7756855	23.6532512
		node	6972733831	46.7594150	23.5003137
		node	7852350051	46.7311763	23.5847669
		node	7987691345	46.7686530	23.6405451
		node	8248731002	46.7347728	23.5954645
		node	8248731015	46.7392430	23.6120224
		node	8248756730	46.7487418	23.6200797
		node	8248756760	46.7536045	23.6234808
		node	8248756773	46.7594664	23.6283302
		node	8248756774	46.7606938	23.6304545
		node	8260048061	46.7408937	23.5634799
		node	8898397747	46.7474337	23.5437854
secondary	Drumul Sfântul Ioan	way	520758298		
		node	654078509	46.7298341	23.5536566
		node	654078510	46.7302629	23.5535910
		node	654078511	46.7316729	23.5536012
		node	654078512	46.7331439	23.5531789
		node	654078513	46.7344135	23.5532175
		node	654078514	46.7351938	23.5533118
		node	654078515	46.7354617	23.5531667
		node	654078516	46.7408962	23.5417176
		node	654078522	46.7415369	23.5364839
		node	654078528	46.7395497	23.5469146
		node	654078529	46.7388671	23.5487048
		node	654078530	46.7378634	23.5504675
		node	654078531	46.7362755	23.5525479
		node	654078532	46.7367967	23.5520567
		node	654078563	46.7260856	23.5572155
		node	654078564	46.7272209	23.5556947
		node	654078565	46.7263788	23.5568762
		node	654078567	46.7284362	23.5547168
		node	1157901546	46.7410536	23.5404691
		node	1314050644	46.7396054	23.5467271
		node	1314055696	46.7321326	23.5534646
		node	2803629844	46.7414344	23.5371227
		node	4140089091	46.7278002	23.5552170
		node	6529765122	46.7258475	23.5573496
		node	6529765123	46.7259449	23.5573040
		node	6529765124	46.7260093	23.5572691
		node	6529765125	46.7261361	23.5571739
		node	6529765126	46.7261784	23.5571310
		node	6529765127	46.7262262	23.5570773
		node	6529765128	46.7262924	23.5569996
		node	6529765129	46.7268413	23.5561211
		node	6529765130	46.7269295	23.5560004
		node	6529765131	46.7270233	23.5558905
		node	6529765132	46.7271198	23.5557885
		node	6529765133	46.7267548	23.5562499
		node	6529765134	46.7290677	23.5542168
		node	6529765135	46.7300913	23.5535945
		node	6529765136	46.7297397	23.5537004
		node	6529765137	46.7297880	23.5536756
		node	6529765138	46.7296947	23.5537293
		node	6529765139	46.7298873	23.5536367
		node	6529765140	46.7299571	23.5536173
		node	6529765141	46.7300348	23.5536019
		node	6529765142	46.7301681	23.5535905
		node	6529765143	46.7308419	23.5536186
		node	6529765144	46.7313024	23.5536133
		node	6529765145	46.7314568	23.5536106
		node	6529765146	46.7315460	23.5536119
		node	6529765147	46.7317289	23.5535905
		node	6529765148	46.7317905	23.5535744
		node	6529765149	46.7318843	23.5535476
		node	6529765150	46.7320047	23.5535087
		node	6529765151	46.7325139	23.5533276
		node	6529765152	46.7328954	23.5532056
		node	6529765153	46.7329680	23.5531895
		node	6529765154	46.7330544	23.5531788
		node	6529765155	46.7338909	23.5531995
		node	6529765156	46.7332470	23.5531881
		node	6529765157	46.7334501	23.5531975
		node	6529765158	46.7343367	23.5532096
		node	6529765159	46.7345111	23.5532317
		node	6529765160	46.7346074	23.5532498
		node	6529765161	46.7351522	23.5533236
		node	6529765162	46.7350948	23.5533300
		node	6529765163	46.7348994	23.5533119
		node	6529765164	46.7349957	23.5533256
		node	6529765165	46.7348022	23.5532928
		node	6529765166	46.7352535	23.5532894
		node	6529765167	46.7353000	23.5532686
		node	6529765168	46.7353629	23.5532337
		node	6529765169	46.7354217	23.5531975
		node	6529765170	46.7363795	23.5524646
		node	6529765171	46.7364792	23.5523788
		node	6529765172	46.7365776	23.5522856
		node	6529765173	46.7367026	23.5521615
		node	6529765174	46.7368611	23.5519751
		node	6529765175	46.7369264	23.5518893
		node	6529765176	46.7370486	23.5517116
		node	6529765177	46.7372752	23.5513663
		node	6529765208	46.7377393	23.5506622
		node	6529765209	46.7383386	23.5496356
		node	6529765210	46.7387389	23.5489543
		node	6529765211	46.7387761	23.5488839
		node	6529765212	46.7389328	23.5485486
		node	6529765213	46.7389967	23.5483937
		node	6529765214	46.7391111	23.5480980
		node	6529765215	46.7388225	23.5487967
		node	6529765216	46.7393478	23.5474831
		node	6529765217	46.7394939	23.5470928
		node	6529765218	46.7398422	23.5457906
		node	6529765219	46.7400793	23.5448800
		node	6529765220	46.7408670	23.5418880
		node	6529765221	46.7407935	23.5422300
		node	6529765222	46.7408325	23.5420576
		node	6529765223	46.7407512	23.5423963
		node	6529765224	46.7405674	23.5430735
		node	6529765225	46.7409286	23.5414971
		node	6529765226	46.7409580	23.5412711
		node	6529765227	46.7410673	23.5403605
		node	6529765228	46.7411257	23.5398978
		node	6529765229	46.7413274	23.5382757
		node	6529765230	46.7413008	23.5385084
		node	6529765231	46.7413486	23.5380431
		node	6529765232	46.7412438	23.5389711
		node	6529765251	46.7415553	23.5364230
		node	6529765252	46.7415760	23.5363640
		node	6529765253	46.7416128	23.5362627
		node	6529765255	46.7414510	23.5369273
		node	6529765256	46.7414855	23.5366973
		node	6529765257	46.7415085	23.5365980
		node	6529765258	46.7414671	23.5367972
		node	6705299103	46.7264781	23.5567112
